 ,,LED,,,Parameters,,,,,,,,,,,,,,,,,,
,พืช,R,G,B,stem diameter (mm),No. leaf,FW (g),DW (g),root FW (g),root DW (g),stem length (cm),leaf area (cm^2),root length (cm),root diameter (mm),leaf width,leaf length,,,,,,,
,ผักกาดหอมใบแดง,75,,25,,10,10.7,0.26,,,11.9,271,,,,,,,,,,,
,ผักกาดหอมใบแดง,83.3333,,16.6667,,9,10.9,0.25,,,12.7,295,,,,,,,,,,,
10,ผักกาด,66.6667,,33.3333,,,9.1,0.59,1.89,0.093,,182.9,2098.2,,,,,,,,,,
,ผักกาด,75,,25,,,10,0.58,1.93,0.094,,200.8,2240.9,,,,,,,,,,
,ผักกาด,80,,20,,,9.2,0.53,1.75,0.093,,184.5,1616.6,,,,,,,,,,
,ผักกาด,88.8889,,11.1111,,,12.4,0.68,2.71,0.125,,235.6,3345.9,,,,,,,,,,
1,"Red,Green Oakleaf",100,,,,,21.51,1.35,,,,,,,,,,,,,,,
,,80,,20,,,20.14,1.26,,,,,,,,,,,,,,,
,,50,,50,,,18.65,1.1,,,,,,,,,,,,,,,
,,20,,80,,,18.55,0.97,,,,,,,,,,,,,,,
,,,,100,,,22.33,1.16,,,,,,,,,,,,,,,
2,แตงกวา,90,,10,,,,,22.15,2,7.6,672.2,,,,,,,,,,,
,แตงกวา,,,,,,,,22.4,1.9,9.2,636.4,,,,,,,,,,,
,ผักกาดหอม,90,,10,,,36.93,1.9,,,,532.6,,,,,,,,,,,
,ผักกาดหอม,,,,,,45.99,2.4,,,,678.8,,,,,,,,,,,
3,โหระพาสีม่วง,66.6667,16.6667,16.6667,4.9,,24.63,1.82,6.06,0.26,18.78,,,,,,,,,,,,
,โหระพาสีม่วง,50,25,25,3.21,,12.68,1.19,4.43,0.24,15,,,,,,,,,,,,
,โหระพาสีม่วง,33.3333,3.3333,33.3333,2.53,,6.09,0.62,3.33,0.13,11.85,,,,,,,,,,,,
,โหระพาสีเขียว,66.6667,16.6667,16.6667,6.43,,52.75,7.94,7.59,0.44,26.25,,,,,,,,,,,,
,โหระพาสีเขียว,50,25,25,6.03,,42.2,5.92,6.65,0.37,25.75,,,,,,,,,,,,
,โหระพาสีเขียว,33.3333,33.3333,33.3333,5.38,,31.23,4.66,4.04,0.24,24.81,,,,,,,,,,,,
4,ผักกาดหอม,,,100,,,,,23.83,1.18,,,,,,,,,,,,,
,ผักกาดหอม,100,,,,,,,1.67,0.05,,,,,,,,,,,,,
,ผักกาดหอม,70,,30,,,,,36.33,2.5,,,,,,,,,,,,,
5,มันฝรั่ง,100,,,1.04,,0.2965,0.0225,,,11.2,0.9951,717,0.67,,,,,,,,,
,มันฝรั่ง,,,100,1.37,,0.31491,0.03191,,,3.03,1.5432,800.51,0.62,,,,,,,,,
,มันฝรั่ง,65,,35,1.21,,0.414,0.03598,,,8.77,1.3756,792.28,0.64,,,,,,,,,
,มันฝรั่ง,45,20,35,1.27,,0.4302,0.03663,,,7.27,1.3777,834.23,0.67,,,,,,,,,
6,ใบของต้นมะเขือเทศ,50,,50,7.1,,,,,,25.73,,,,,,,,,,,,
,ใบของต้นมะเขือเทศ,,,100,6,,,,,,28.93,,,,,,,,,,,,
,ใบของต้นมะเขือเทศ,100,,,6.4,,,,,,25.44,,,,,,,,,,,,
7,ผักบุ้ง,100,,,2.29,5.5,,,,,29.75,,,,,,,,,,,,
,ผักบุ้ง,,,100,2.12,5,,,,,19.05,,,,,,,,,,,,
,ผักบุ้ง,50,,50,2.46,5.75,,,,,18.79,,,,,,,,,,,,
,ผักบุ้ง,66.6666,,33.3333,2.32,6,,,,,20.53,,,,,,,,,,,,
8,ผักกาดหอม,50,,50,,,136.3,7.02,9.1,0.43,,,,,,,,,,,,,
,ผักกาดหอม,33.3333,,33.3333,,,164.1,7.97,13.5,0.62,,,,,,,,,,,,,
9,มะเขือเทศ,66%,,33%,,,26.55,2.57,2.31,0.12,76.66,,,,,,,,,,,,
,มะเขือเทศ,66%,33%,,,,29.13,2.21,1.01,0.05,114.33,,,,,,,,,,,,
,มะเขือเทศ,66%,,33%,,,33.29,3.36,1.73,0.36,69.67,,,,,,,,,,,,
,มะเขือเทศ,66%,33%,,,,27.98,2.39,0.98,0.07,119,,,,,,,,,,,,
10,ผักชีล้อม,100,,,3.89,,,,,,,,,,,,,,,,,,
,ผักชีล้อม,,,100,4.57,,,,,,,,,,,,,,,,,,
,ผักชีล้อม,,100,,4.14,,,,,,,,,,,,,,,,,,
,ผักชีล้อม,90,,10,4.28,,,,,,,,,,,,,,,,,,
,ผักชีล้อม,80,,20,4.36,,,,,,,,,,,,,,,,,,
,ผักชีล้อม,70,,30,4.86,,,,,,,,,,,,,,,,,,
,ผักชีล้อม,60,,40,4.45,,,,,,,,,,,,,,,,,,
,ผักชีล้อม,90,10,,4.17,,,,,,,,,,,,,,,,,,
,ผักชีล้อม,80,10,10,3.73,,,,,,,,,,,,,,,,,,
,ผักชีล้อม,70,10,20,4.75,,,,,,,,,,,,,,,,,,
,ผักชีล้อม,60,10,30,4.24,,,,,,,,,,,,,,,,,,
,ผักชีล้อม,100,,0,4.25,,,,,,,,,,,,,,,,,,
11, กล้วยไม้ Oncidium,100,,,,,,0.043,,,3.925,,1.825,,,,,,,,,,
, กล้วยไม้ Oncidium,90,,10,,,,0.035,,,3.375,,1.425,,,,,,,,,,
, กล้วยไม้ Oncidium,80,,20,,,,0.059,,,3.5,,1.95,,,,,,,,,,
, กล้วยไม้ Oncidium,70,,30,,,,0.059,,,3.8,,1.85,,,,,,,,,,
, กล้วยไม้ Oncidium,,,100,,,,0.026,,,2.675,,1.575,,,,,,,,,,
, กล้วยไม้ Oncidium,80,10,10,,,,0.046,,,3.35,,1.425,,,,,,,,,,
